id,latitude,longitude,name,host_id,host_name,neighbourhood,room_type,price,minimum_nights,number_of_reviews,last_review,calculated_host_listings_count,availability_365,reviews_per_month
1039734873419465986,52.35789398638315,4.912765739245945,Cosy apartment in Amsterdam East,133342137,Omar,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,200.0,2,4,2024-04-09,1,0,0.38
1039811851837633284,52.37421097688664,4.891151326373934,Cosy studio Emma in city center,357673486,Erik,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,192.0,2,55,2024-11-23,3,185,5.83
1039828186305222073,52.32657,4.97995,Luxury private bathroom garden 15 min city center,533813955,Valentijn,"Amsterdam, Noord-Holland, Netherlands",Private room,51.0,2,40,2024-11-30,3,109,4.07
1039844228350103113,52.3482391,4.8493359,Comfortabel huis Amsterdam Zuid,68857471,Floor,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,350.0,2,3,2024-09-03,1,95,0.26
1039919785535877901,52.36094017106316,4.866292368958872,Luxury Apartment Amsterdam,6855747,Daan,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,380.0,3,4,2024-07-26,1,26,0.49
1039921686729948783,52.3797726861849,4.8475123284498896,kleurrijk en knus appartement,73089371,Freija,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,200.0,2,3,2023-12-30,1,0,0.26
1039945657165042936,52.37763419106905,4.890865593531425,"Huis Roomolen ""winter deal""",211258076,Mel & Henri,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,1000.0,4,6,2024-06-17,2,5,0.54
1039957195552584090,52.35692500220314,4.908703813465428,Design apartment near De Pijp,549638564,Maël,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,150.0,7,4,2024-10-25,1,18,0.42
1039969964426356136,52.3416226,4.818144,Luxurious Villa Park Amsterdam at Sloterweg 779,544718367,Johnny,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,676.0,2,1,2024-05-05,6,27,0.14
1040331189105469068,52.38086,4.87757,Charming Studio in Amsterdam,6201918,Anabella,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,175.0,1,9,2024-07-11,1,237,0.78
1040341901966026917,52.37783,4.87289,Beautiful apartment in Oud West,8873100,Tad,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,330.0,3,8,2024-10-21,1,172,0.7
1040346316773581436,52.37050319999999,4.8780759,Charming Canal House Amsterdam,34324167,Dave,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,245.0,3,0,2024-10-20,1,17,1.026822858420935
1040385860054575154,52.341131793709046,4.8187562841308695,Luxurious Villa Park Amsterdam at Sloterweg 777,544718367,Johnny,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,200.0,2,3,2024-08-26,6,23,0.35
1040400874723235418,52.3417530128849,4.817515192267786,Luxurious Villa Park Amsterdam at Sloterweg 773,544718367,Johnny,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,693.0,2,2,2024-06-20,6,24,0.24
1040442760875725813,52.34018001844616,4.818971807113326,Luxurious Villa Park Amsterdam at Sloterweg 781,544718367,Johnny,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,200.0,2,1,2024-10-19,6,21,0.6
1040515744250841614,52.363338,4.863799,Azra's place,9210809,Daan,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,180.0,1,4,2024-08-06,1,13,0.35
1040604829188319738,52.36214201059295,4.944369292590323,Cozy 2 bedroom apartment in Amsterdam East,128727918,David,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,200.0,2,5,2024-10-21,1,0,0.44
1041084549792198429,52.376828,4.848652,Modern warm appartment,15361032,Marloes,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,200.0,1,4,2024-01-02,1,0,0.34
1041257783578352876,52.3213082,4.9710092,"Bright apartment, close to shops and metro",7763522,Karin,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,110.0,3,6,2024-08-15,1,29,0.52
1041405881482531290,52.35010134468914,4.849744699895382,Cozy apartment in Amsterdam-Zuid,407316857,Maria,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,300.0,2,1,2024-01-01,1,58,0.09
1041865360533447959,52.40496,4.90072,"Nice & green family house,  Close to center & NDSM",423314484,Mahboubeh,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,200.0,2,5,2024-05-20,1,0,0.43
1041897135829920124,52.35296,4.84682,Just renovated two-bedroom apartment,493320964,Julia,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,200.0,10,1,2024-01-11,1,272,0.09
1041947363081320365,52.38639,4.88337,2BR City House-ground floor,550065323,Alek,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,300.0,2,5,2024-03-31,1,180,0.42
1042013672386291405,52.3309416,4.876598100000001,"Cute place near Amsterdam rai, with Balcony.",16583473,Alphons,"Amsterdam, Noord-Holland, Netherlands",Private room,60.0,30,0,2024-10-20,9,269,1.026822858420935
1042133717983688087,52.34995306675115,4.829052182013096,Modern licht huis- incl. 2 fietsen!,145695571,Boaz,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,200.0,4,4,2024-06-29,1,0,0.4
1042190615742665343,52.3769432245297,4.847823016372585,Nice 2 double Bed in sunny House in Amsterdam west,310835509,Travelnest,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,327.0,1,0,2024-10-20,1,358,1.026822858420935
1042499127366836653,52.36245,4.86659,Chic Urban Retreat in Amsterdam,81502839,Simon,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,200.0,7,0,2024-10-20,1,0,1.026822858420935
1042586315766311677,52.35526840761173,4.851430366827762,Luxe 2 slaapkamer appartement,57652742,Yuval,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,200.0,4,0,2024-10-20,1,0,1.026822858420935
1042593688596418074,52.353218269596944,4.874412373058987,Modern appartement in Museum District,550184187,Yvette,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,200.0,3,0,2024-10-20,1,0,1.026822858420935
1042652992230764566,52.3530232,4.9015882,Family duplex with roof terrace,4976185,Typhaine & Vincent,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,350.0,3,6,2024-08-22,1,6,0.52
1042788997660100044,52.39579,4.93357,Modern Amsterdam family flat,12341291,Ajay,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,200.0,2,12,2024-07-05,1,0,1.04
1043347782000457734,52.35158,5.01362,Family Apartment  (2 adults / 3 kids) in Amsterdam,550326326,Koen,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,200.0,5,1,2024-10-13,1,0,0.54
1043351786103276841,52.34315609999999,4.9072567,Huis in centrum Amsterdam,46451368,Barbara,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,240.0,1,1,2024-09-16,1,359,0.36
1043371101633636932,52.3661463,4.8819003,Amsterdam 7-Person Private Dorm,354532008,Hotel,"Amsterdam, Noord-Holland, Netherlands",Private room,193.0,1,68,2024-12-07,5,61,6.2
1043383781205873231,52.41808,4.90453,Studio appartment a'dam-noord,15454576,Emiel,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,120.0,2,6,2024-10-06,1,21,0.53
1043405136658959704,52.358660604038505,4.907734101220288,Complete 4-person apartment with gorgeous view,4118003,Vincenzo,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,380.0,4,9,2024-10-21,1,305,0.78
1043473515178051124,52.365376606930965,4.926885164114313,Private canal room w bathroom - Windmill view,114678301,Akshay,"Amsterdam, Noord-Holland, Netherlands",Private room,110.0,1,10,2024-10-20,1,214,0.88
